index,inputs,predictions,anomaly,anomaly_prob
0,102320.30242383826,102320,0.958333,0.003681
1,102320.31571341345,102320,0.763889,0.00310888
2,102115.33414878279,102115,0.0972222,0.00174925
3,102115.3183208231,102115,0.902778,0.00348994
4,102092.61215186991,102093,0.0416667,0.00174227
5,102308.917055814,102309,0.0833333,0.00172071
6,102303.22975151397,102303,0.916667,0.00351453
7,102320.28912983046,102320,0,0.00171549
8,102331.672597866,102332,0,0.00163124
9,102325.9909934968,102326,0.0138889,0.00161105
10,102297.54307948895,102298,0.0277778,0.00162803
11,102280.48685599862,102280,0.0138889,0.00160629
12,102286.1589772083,102286,0.0138889,0.00160391
13,102314.6049924943,102315,0.0138889,0.00160155
14,102331.67259786592,102332,0,0.00158014
15,102331.69158930579,102332,0.0138889,0.00159683
16,102320.30685418875,102320,0,0.0015755
17,102303.26201722577,102303,0,0.00157319
18,102291.86305024385,102292,0,0.00157088
19,102297.55446865308,102298,0.0138889,0.00158749
20,102331.6763969982,102332,0,0.00156629
21,102343.06366416463,102343,0,0.00156401
22,102343.06682975587,102343,0,0.00156173
23,102320.31128404582,102320,0,0.00155946
24,102314.60973982661,102315,0,0.00155719
25,102308.91705581578,102309,0.0138889,0.00157368
26,102314.6097398275,102315,0,0.00155268
27,102320.31128404733,102320,0,0.00155044
28,102325.99922174627,102326,0,0.0015482
29,102325.99922174614,102326,0,0.00154597
30,102314.61448663028,102315,0,0.00154374
31,102320.3024238378,102320,0,0.00154152
32,102303.235130629,102303,0,0.00153931
33,102314.61923290753,102315,0,0.0015371
34,102314.6192329074,102315,0,0.0015349
35,102325.98687868306,102326,0,0.00153271
36,102303.21899149325,102303,0,0.00153052
37,102303.22437180333,102303,0,0.00152834
38,102291.85102834814,102292,0.0277778,0.00156319
39,102320.28912982959,102320,0,0.00152399
40,102308.91199199297,102309,0,0.00152183
41,102337.36654804231,102337,0,0.00151968
42,102308.91705581591,102309,0,0.00151753
43,102331.66879831074,102332,0,0.00151539
44,102308.92211907466,102309,0,0.00151324
45,102308.91705581528,102309,0,0.00151111
46,102291.83900378061,102292,0.0138889,0.00152719
47,102303.19746427084,102303,0,0.00150686
48,102325.97453150152,102326,0,0.00150475
49,102320.30685418785,102320,0,0.00150264
50,102297.56585528476,102298,0.0277778,0.00153695
51,102303.24588706034,102303,0,0.00149845
52,102303.22975151434,102303,0,0.00149636
53,102325.97453150294,102326,0,0.00149427
54,102280.47357012001,102280,0.0277778,0.00152841
55,102297.53738395845,102298,0,0.00149013
56,102303.23513062803,102303,0,0.00148806
57,102337.37699449567,102337,0.0277778,0.00152207
58,102314.61448663034,102315,0,0.00148394
59,102325.99510784942,102326,0,0.0014819
60,102343.05733192405,102343,0.0138889,0.00149773
61,102331.68779186053,102332,0,0.00147785
62,102314.60499249451,102315,0,0.0014758
63,102297.54877438756,102298,0,0.00147377
64,102314.6002446353,102315,0,0.00147175
65,102331.6839939956,102332,0.0138889,0.00148747
66,102337.37351273166,102337,0,0.00146775
67,102354.45346380484,102354,0.0416667,0.00151941
68,102320.31128404604,102320,0,0.00146372
69,102314.6144866307,102315,0,0.00146172
70,102286.17795809559,102286,0.0833333,0.00156863
71,102297.53738395861,102298,0,0.00145779
72,102297.54877438825,102298,0,0.00145582
73,102297.54307948853,102298,0,0.00145384
74,102280.5001389266,102281,0,0.00145191
75,102286.1716318354,102286,0.0138889,0.00146742
76,102286.18428364964,102286,0.0138889,0.00146545
77,102308.9271817671,102309,0,0.00144602
78,102320.31571341299,102320,0,0.00144407
79,102331.67639699775,102332,0,0.00144215
80,102320.3024238384,102320,0,0.0014402
81,102314.60973982578,102315,0,0.00143827
82,102320.29356165834,102320,0,0.00143634
83,102343.06682975586,102343,0.0694444,0.00152305
84,102331.67639699728,102332,0,0.00143254
85,102348.76014678073,102349,0.0416667,0.00148304
86,102303.22437180438,102303,0,0.00142874
87,102303.22975151552,102303,0,0.00142683
88,102291.85703963152,102292,0,0.00142496
89,102308.90186266263,102309,0,0.00142306
90,102314.60024463478,102315,0,0.00142118
91,102325.97041485974,102326,0,0.0014193
92,102325.99099349602,102326,0,0.00141742
93,102314.600244634,102315,0,0.00141555
94,102286.15264883984,102286,0.0555556,0.00148313
95,102314.59549624572,102315,0,0.00141182
96,102320.29356165924,102320,0,0.00140997
97,102337.37003058135,102337,0.0277778,0.00144234
98,102325.97864768715,102326,0,0.0014063
99,102320.29356165975,102320,0,0.00140445
100,102308.91705581594,102309,0,0.00140261
101,102303.22975151554,102303,0,0.00140079
102,102314.60973982599,102315,0,0.00139897
103,102331.67259786393,102332,0,0.00139716
104,102320.29799299497,102320,0,0.00139532
105,102325.97453150187,102326,0,0.00139352
106,102320.29356165911,102320,0,0.0013917
107,102343.06366416372,102343,0.125,0.00154822
108,102331.69158930398,102332,0,0.00138814
109,102314.62397865644,102315,0,0.00138632
110,102314.61923290777,102315,0,0.00138453
111,102314.61448663166,102315,0,0.00138275
112,102314.61448663127,102315,0,0.00138097
113,102314.60973982693,102315,0,0.00137919
114,102303.22437180323,102303,0,0.00137743
115,102331.6725978638,102332,0,0.00137568
116,102314.6097398261,102315,0,0.0013739
117,102331.68399399535,102332,0,0.00137216
118,102320.30685418847,102320,0,0.00137038
119,102325.99510784955,102326,0,0.00136865
120,102320.29799299456,102320,0,0.00136689
121,102331.68019570832,102332,0,0.00136517
122,102325.97864768752,102326,0,0.00136343
123,102320.30242383892,102320,0,0.00136169
124,102303.23513062828,102303,0,0.00135997
125,102320.29799299447,102320,0,0.00135824
126,102325.97864768689,102326,0,0.00135654
127,102331.66499833226,102332,0,0.00135483
128,102303.22437180363,102303,0,0.00135311
129,102325.98687868337,102326,0,0.00135142
130,102297.55446865255,102298,0,0.00134975
131,102325.99099349539,102326,0,0.00134802
132,102308.90692761066,102309,0,0.00134633
133,102308.89679715213,102309,0,0.00134464
134,102308.89679715234,102309,0,0.00134295
135,102303.22975151458,102303,0,0.00134127
136,102337.3700305813,5.3,0.0694444,0.00142915
137,102325.99510785038,102326,0,0.00133795
138,102325.98687868334,102326,0,0.00133628
139,102308.90692761005,102309,0.0138889,0.00135071
140,102297.52029356046,102298,0,0.00133301
141,102320.28469750793,102320,0,0.00133133
142,102337.35958180329,102337,0.0833333,0.00142889
143,102343.05099827623,102343,0.0972222,0.00144435
144,102308.90692761155,102309,0.0416667,0.00137496
145,102314.6097398278,102315,0,0.00132477
146,102308.92718176829,102309,0,0.00132314
147,102314.61448663009,102315,0,0.00132151
148,102303.23513062805,102303,0,0.0013199
149,102314.60499249466,102315,0,0.00131826
150,102314.60024463492,102315,0,0.00131664
151,102314.60499249415,102315,0,0.00131503
152,102325.98276341388,102326,0,0.00131343
153,102303.23513062816,102303,0,0.00131183
154,102291.84501639869,4.8,0.125,0.00158898
155,102286.16530487392,102286,0.0555556,0.00137301
156,102320.28912983056,102320,0.0416667,0.00135492
157,102325.98276341463,102326,0,0.0013055
158,102325.98276341459,102326,0,0.00130391
159,102337.35958180379,102337,0,0.00130238
160,102337.35609810395,102337,0,0.0013008
161,102320.28469750962,102320,0,0.00129921
162,102308.91705581546,102309,0,0.00129763
163,102308.93730546856,102309,0,0.00129606
164,102325.99510784882,102326,0,0.0012945
165,102325.98687868242,102326,0,0.00129294
166,102308.89679715295,102309,0,0.00129137
167,102320.29356165911,102320,0,0.00133998
168,102314.60973982685,102320,0,0.00133158
169,102325.99922174735,102320,0,0.00132728
170,102325.99510785045,102320,0,0.0013193
171,102331.68779186215,102320,0,0.00131756
172,102354.4509313317,102354,0.263889,0.00161181
173,102331.68019570729,102332,0.541667,0.0020455
174,102314.60499249361,102320,0,0.00131127
175,102286.15897720808,4.8,0.0416667,0.00136719
176,102291.85102834842,102292,0,0.00127764
177,102320.29799299486,102320,0,0.00130011
178,102320.29356165974,102320,0,0.00129851
179,102314.60973982746,102320,0,0.00129927
180,102297.53738395848,102298,0,0.00127159
181,102320.28912983138,102320,0,0.00128861
182,102314.59074733117,102320,0,0.00128697
183,102320.28469750792,102320,0,0.00128533
184,102314.6002446335,102320,0,0.00128861
185,102314.6144866295,102320,0,0.00127963
186,102303.22975151459,102303,0.0277778,0.00129323
187,102308.92718176854,102320,0,0.00127644
188,102337.3665480437,102337,0.0277778,0.00129023
189,102325.98687868395,102320,0,0.00126357
190,102325.98687868308,102320,0,0.00126689
191,102303.22975151463,102303,0,0.00125521
192,102314.60024463401,102320,0,0.00126852
193,102320.28912983075,102320,0,0.00125982
194,102314.60024463465,102320,0,0.00126294
195,102325.98687868343,102320,0,0.00125678
196,102314.60973982634,102320,0,0.00125978
197,102325.99099349623,102326,0.0138889,0.00126146
198,102325.98687868452,102320,0,0.00124719
199,102303.21361058572,102303,0.0555556,0.00130467
200,102297.51459549503,102298,0.194444,0.00146899
201,102303.22975151372,102303,0.0694444,0.00131735
202,102331.67259786469,102332,0,0.00123926
203,102337.35958180371,102337,0.0416667,0.00128322
