index,inputs,predictions,anomaly
0,99.83319432860752,99.8332,0
1,99.78321289605411,99.7832,0
2,99.83322214809817,99.8332,0
3,99.86101845675014,99.861,0
4,99.91657397107979,99.861,0
5,99.91657397107953,99.7832,1
6,99.9277215612133,99.7832,0
7,99.88881476539822,99.7832,0
8,99.88879621907147,99.7832,0
9,99.82206405693942,99.7832,0
10,99.82206405693974,99.7832,0
11,99.799833194329,99.7832,0
12,99.83870967742041,99.7832,0
13,99.81655456112067,46.7,0
14,99.84431470669954,99.7832,1
15,99.86657771847781,99.7832,0
16,99.89430351579938,99.7832,0
17,99.87766223655645,99.7832,0
18,99.8720587417261,99.7832,0
19,99.84433201756727,99.7832,0
20,99.86654804270407,38.1,0
21,99.83882621019262,38.1,0
22,99.84990827728025,39,0
23,99.76100489106379,39,0
24,99.77761716795419,99.7832,0.916667
25,99.78312851026077,99.7832,0
26,98.82666963242947,99.7832,0
27,97.89719626168262,99.7832,0.0277778
28,97.9091364066057,99.7832,0
29,98.93788578101662,99.7832,0
30,99.89439751000465,38.1,0
31,99.89438576987244,39,0
32,99.88326199344006,39,0
33,99.81658514895518,39,0
34,99.83879037189402,39,0.0277778
35,99.81654436290903,99.7832,0.986111
36,99.85542704626307,99.7832,0
37,99.78314056939513,99.7832,0
38,99.80539338337493,99.7832,0
39,99.83872761650558,99.7832,0
40,98.88802401868014,99.7832,0
41,98.89908256880663,38.1,0
42,98.88271261811997,38.1,0
43,99.89435640811767,38.1,0.0277778
44,99.86099527384079,38.1,0
45,98.90464275785405,39,0
46,98.90488631941811,38.1,0.0416667
47,98.89932736672277,99.7832,0.958333
48,98.94935794096472,99.7832,0
49,98.94929953302216,99.7832,0
50,98.95468445927148,99.7832,0
51,99.8554109665224,99.7832,0.0138889
52,99.8275957955621,99.7832,0
53,99.86100300233593,38.1,0.0138889
54,99.86099527383887,38.1,0
55,99.86101845674902,39,0
56,99.86654804270381,38.1,0
57,99.8721440880535,39,0
58,99.86655546288546,38.1,0.0277778
59,98.82686533970917,42.8,0.0555556
60,97.91458124791535,99.7832,0.986111
61,97.88192128085474,99.7832,0.0138889
62,98.90470365840041,99.7832,0
63,99.82763413955993,99.7832,0
64,98.88233985765072,99.7832,0
65,97.95396419437385,99.7832,0
66,97.91562447890607,99.7832,0.0416667
67,98.89364541057371,99.7832,0
68,99.13289978322565,99.7832,0
69,97.85388635605466,99.7832,0
70,97.86004113167807,99.7832,0
71,98.57690811051091,99.7832,0
72,99.88882094613373,99.7832,0
73,99.91104686718116,99.7832,0
74,98.97125062559118,99.7832,0
75,98.93285904846564,99.7832,0
76,98.93250305793407,99.7832,0
77,99.86101845674989,99.7832,0
78,99.90546627370394,99.7832,0
79,99.91105181232017,99.7832,0
80,99.83878140982763,99.7832,0
81,99.77207026906815,99.7832,0
82,96.4361169798726,99.7832,0.0138889
83,96.45259938837856,99.7832,0.0138889
84,95.47805773402142,99.7832,0.0277778
85,98.79323768212623,99.7832,0
86,98.86009786476919,99.7832,0
87,99.88325550366969,99.7832,0
88,99.91104686718195,99.7832,0
89,99.86660738105743,99.7832,0
90,99.8554431224289,99.7832,0
91,99.81654436290908,99.7832,0
92,99.01573708502539,99.7832,0
93,98.08184143222488,99.7832,0
94,97.41393693342928,99.7832,0
95,97.37003058104003,99.7832,0
96,98.30979650839497,99.7832,0
97,98.99938851520447,99.7832,0
98,99.89991103202878,99.7832,0
99,99.9166110740493,99.7832,0
100,99.9221703357796,99.7832,0
101,99.87210854092558,99.7832,0
102,99.85543508479363,99.7832,0
103,99.83872761650474,99.7832,0
104,99.82771077641253,99.7832,0
105,99.86098754448341,99.7832,0
106,99.8665925514173,99.7832,0.0277778
107,99.88322953736693,99.7832,0
108,98.40996275087528,99.7832,0
109,98.42064286508794,99.7832,0
110,98.40969750889664,99.7832,0
111,99.87209431653945,99.7832,0
112,99.82211351381459,99.7832,0
113,99.86098754448385,99.7832,0
114,99.87768264205552,99.7832,0
115,99.91659252668956,99.9166,0.0555556
116,99.91660643798251,99.7832,0
117,99.89993328885802,99.7832,0
118,99.91103202846867,99.7832,0
119,99.87765543321149,99.7832,0
