index,inputs,predictions,anomaly
0,102325.99510784882,5.3,0.875
1,102325.98687868242,5.3,0.888889
2,102308.89679715295,4.8,0.138889
3,102320.29356165911,5.3,0.958333
4,102314.60973982685,102315,0
5,102325.99922174735,102326,0.0555556
6,102325.99510785045,5.3,0.972222
7,102331.68779186215,102332,0
8,102354.4509313317,102354,0
9,102331.68019570729,4.8,0.0416667
10,102314.60499249361,5.3,0.972222
11,102286.15897720808,102286,0.0138889
12,102291.85102834842,102292,0
13,102320.29799299486,102320,0
14,102320.29356165974,102320,0.0138889
15,102314.60973982746,5.3,0.986111
16,102297.53738395848,102298,0
17,102320.28912983138,102320,0
18,102314.59074733117,102315,0
19,102320.28469750792,102320,0
20,102314.6002446335,5.1,0.0138889
21,102314.6144866295,5.3,0.986111
22,102303.22975151459,102303,0.0138889
23,102308.92718176854,102309,0
24,102337.3665480437,4.8,0.0138889
25,102325.98687868395,4.8,0.0138889
26,102325.98687868308,4.8,0
27,102303.22975151463,4.8,0.0972222
28,102314.60024463401,5.3,1
29,102320.28912983075,102320,0
30,102314.60024463465,4.8,0
31,102325.98687868343,4.8,0
32,102314.60973982634,4.8,0
33,102325.99099349623,4.8,0
34,102325.98687868452,4.8,0
35,102303.21361058572,5.3,0.166667
36,102297.51459549503,5.3,1
37,102303.22975151372,102303,0
38,102331.67259786469,102332,0
39,102337.35958180371,4.8,0
40,102325.9786476868,4.8,0
41,102308.91705581413,4.8,0
42,102303.24050914387,4.8,0
43,102320.28469750898,48.6,0
44,102320.29356166077,5.3,0.194444
45,102343.05099827675,5.3,0.847222
46,102303.22975151576,102303,0
47,102320.2979929947,102320,0
48,102308.92718176768,102309,0
49,102343.06366416437,102343,0
50,102325.9786476864,102326,0
51,102297.54307948751,102298,0
52,102291.85102834854,102292,0
53,102291.86906018938,102292,0
54,102286.16530487438,102286,0
55,102291.85703963072,102292,0
56,102291.85102834993,102292,0
57,102257.66707439124,102258,0
58,102246.29753168851,102246,0
59,102257.66707439172,102258,0
60,102308.92211907411,102309,0
61,102303.21361058556,102303,0
62,102308.92211907271,102309,0
63,102314.61448663041,102315,0
64,102308.92718176768,102309,0
65,102297.53738395561,102309,0
66,102308.90692760934,102309,0
67,102325.99099349492,102309,0
68,102337.36654804273,102309,0
69,102325.99099349556,102309,0
70,102320.289129832,102309,0
71,102303.23513062936,102309,0
72,102320.29799299591,102309,0
73,102325.9868786827,102309,0
74,102303.22437180248,102309,0
75,102280.48021342726,102309,0
76,102274.80271201406,102309,0
77,102320.30242383803,102309,0
78,102303.21361058748,102309,0.0138889
79,102291.83900378186,102309,0
80,102274.76095174656,102309,0
81,102291.83900377927,102309,0
82,102308.91199199336,102309,0
83,102308.92211907191,102309,0
84,102314.60024463451,102309,0
85,102331.67259786444,102309,0
86,102331.66499833185,102309,0
87,102360.13126425275,102309,0.0555556
88,102331.67259786572,102309,0
89,102320.29799299527,102309,0
90,102314.61448663089,102309,0
91,102325.98276341318,102309,0
92,102325.99922174649,102309,0
93,102325.99510785058,102309,0
94,102320.3112840475,102309,0
95,102325.98276341411,102309,0
96,102325.98276341308,102309,0
97,102325.98687868229,102309,0
98,102320.2935616578,102309,0
99,102303.23513062861,102309,0
100,102303.22975151552,102309,0
101,102280.4934978331,102309,0.0138889
102,102297.54877438597,102309,0
103,102297.53738395577,102309,0
104,102320.28912983148,102309,0
105,102303.2136105877,102309,0
106,102297.52599099507,102309,0
107,102314.60499249517,102309,0
108,102320.31128404639,102309,0
109,102308.93730546843,102309,0
110,102308.93224389851,102309,0
111,102320.29356165817,102309,0
112,102331.67639699737,102309,0
113,102343.0478309231,102309,0.0833333
114,102320.29356165916,102309,0
115,102337.35958180382,102309,0
116,102320.30242383867,102309,0
117,102325.98687868343,102326,0
118,102291.863050245,102309,0
119,102291.84501639847,102309,0.0277778
120,102303.22437180312,102309,0
121,102331.67259786493,102326,0
122,102314.58124791479,102309,0
123,102320.27139758666,102309,0
124,102325.97453150128,102326,0
125,102337.3735127315,102309,0
126,102325.99510785032,102326,0
127,102320.30242383892,102309,0
128,102308.93224390002,102309,0
129,102308.92718176785,102309,0
130,102291.84501639886,102309,0
131,102314.5907473313,102309,0
132,102297.52599099236,102309,0
133,102325.97864768596,102326,0
134,102314.61448663018,102309,0
135,102314.60499249568,102309,0
136,102291.86305024524,102309,0.0138889
137,102303.23513062847,102309,0
138,102308.93224389851,102309,0
139,102314.60024463377,102309,0
140,102308.91705581405,102309,0
141,102320.29356165937,102309,0
142,102331.68779186148,102326,0.0138889
143,102337.37003058188,102337,0.111111
144,102320.29799299508,102309,0
145,102303.2243718036,102309,0.0138889
146,102320.28912983031,102309,0
147,102314.60499249476,102309,0
148,102325.98687868359,102326,0
149,102320.29356165965,102309,0
150,102337.3630651167,5.4,0.125
151,102325.99099349626,102326,0
152,102314.6192329076,102309,0
153,102320.30685418927,102309,0
154,102331.67259786399,102309,0
155,102303.21361058526,102309,0
156,102297.52599099287,102309,0
157,102286.15897720991,5.4,0.180556
158,102297.54307948858,102309,0.0555556
159,102303.2297515147,102309,0
160,102314.60024463398,102309,0
161,102343.05416527613,5.4,0.25
162,102337.35609810377,102337,0.972222
163,102325.98276341362,102326,0
164,102286.13998999387,102286,0.194444
165,102308.90692761124,5.3,0.305556
166,102286.15897721093,5.4,0.319444
167,102314.62872387683,5.3,0.166667
168,102269.09737661075,102269,0.180556
169,102314.60024463346,102315,0.0833333
170,102303.21361058562,5.3,0.0138889
171,102343.06366416485,5.4,0.0833333
172,102314.61448663122,102315,0
173,102320.28912983047,102320,0.0555556
174,102314.6049924946,102315,0
175,102343.05099827574,5.4,0.0277778
176,102337.37351273143,5.4,0
177,102326.00333518742,5.4,0
178,102297.53168779257,5.4,0
179,102291.84501639962,5.4,0
180,102303.197464271,5.4,0
181,102291.85102834828,5.4,0
182,102320.28026469385,102320,0.0138889
183,102308.92211907166,5.4,0
184,102308.92211907226,5.4,0
185,102297.54877438652,5.4,0
186,102286.16530487622,5.4,0
187,102308.91199199596,5.4,0
188,102308.92718176964,5.4,0
189,102325.9868786832,5.4,0
190,102331.6801957072,102332,0.0416667
191,102303.21899149293,5.4,0
192,102297.52029356212,5.4,0
193,102297.52599099405,5.4,0
194,102325.96218020089,102326,0.0138889
195,102320.29799299422,5.4,0
196,102325.97864768612,5.4,0
197,102331.69538632515,5.4,0
198,102343.05099827585,5.4,0.0416667
199,102331.68019570736,5.4,0
200,102314.59549624781,5.4,0
201,102303.24050914374,5.4,0
202,102308.91199199465,5.4,0
203,102308.91199199362,5.4,0
204,102331.67259786445,5.4,0
205,102337.36654804251,5.4,0
206,102354.4458655392,5.4,0.0833333
207,102320.30242383828,5.4,0
208,102325.98687868347,5.4,0
209,102308.90186266367,5.4,0
210,102314.59074733146,5.4,0
211,102297.53168779239,5.4,0
212,102291.87506946796,5.4,0
213,102308.92718176702,102309,0.0138889
214,102303.23513062738,5.4,0
215,102314.59074732999,5.4,0
216,102320.284697508,5.4,0
217,102325.98276341442,5.4,0
218,102308.91705581547,5.4,0
219,102308.91199199516,5.4,0
220,102314.59549624746,5.4,0
221,102331.6725978655,5.4,0
222,102331.67259786496,102332,0.0138889
223,102320.29799299403,102320,0.0138889
224,102308.9170558144,5.4,0
225,102291.8750694677,5.4,0
226,102291.85703963126,5.4,0
227,102314.61923290716,5.4,0
228,102314.60499249419,5.4,0
229,102320.30242383767,5.4,0
230,102308.91705581502,5.4,0
231,102314.60499249435,5.4,0
232,102314.5954962474,5.4,0
233,102303.21361058584,5.4,0
234,102297.52599099423,5.4,0.0138889
235,102320.28912983045,5.4,0
236,102325.98276341423,5.4,0
237,102308.88159724018,5.4,0
238,102257.69081105129,5.4,0.166667
239,102251.94906300367,5.4,0.0138889
