index,inputs,predictions,anomaly
0,102251.95729537339,102252,0.555556
1,102177.93594306061,102178,1
2,102200.72282457593,102201,0.125
3,102234.85707930171,102235,0.875
4,101261.33659512846,101261,0.0416667
5,101272.660550458,101273,0.0138889
6,101255.89772095485,101256,0.875
7,102291.8209619125,102292,0.0138889
8,102257.65916041296,102258,0
9,101278.35418404255,101278,0
10,101278.60359108415,101279,0
11,101272.91122352412,101273,0
12,101324.14253154787,101324,0
13,101324.08272181469,101324,0
14,101329.59688629399,101330,0
15,102251.94082971894,102252,0.0277778
16,102223.4580946556,102223,0
17,102257.667074392,102258,0
18,102257.659160411,102258,0
19,102257.682899711,102258,0
20,102263.3451957287,102263,0
21,102269.07554616679,102269,0
22,102263.35279399471,102263,0
23,101198.71010786219,101199,0
24,100264.53119786532,100265,0.0277778
25,100231.08739159525,100231,0
26,101278.41654620202,101278,0
27,102223.49735890937,102223,0
28,101255.51601423434,101256,0.0138889
29,100304.85933503883,100305,0
30,100265.59946639981,100266,0.0138889
31,101267.09290042748,101267,0
32,101512.08937802307,101512,0
33,100202.37962859997,100202,0.0138889
34,100208.68211883835,100209,0
35,100942.75390516318,100943,0.0138889
36,102286.15264884094,102286,0
37,102308.9119919935,102309,0.0277778
38,101346.56064060537,101347,0
39,101307.24766562882,101307,0.0138889
40,101306.88313132449,101307,0.0138889
41,102257.68289971189,102258,0
42,102303.19746427283,102303,0
43,102308.91705581585,102309,0.0138889
44,102234.9121636635,102235,0
45,102166.59995552579,102167,0
46,98750.58378738954,98750.6,0.0416667
47,98767.46177369964,98767.5,0
48,97769.53111963793,97769.5,0
49,101164.27538649726,101164,0.0138889
50,101232.74021352365,101233,0.0138889
51,102280.45363575776,102280,0
52,102308.91199199432,102309,0
53,102263.40595820281,102263,0
54,102251.97375736719,102252,0
55,102212.1414276189,102212,0
56,101392.114775066,101392,0.0277778
57,100435.80562659827,100436,0
58,99751.87141983159,99751.9,0.0138889
59,99706.91131498499,99706.9,0
60,100669.23162459645,100669,0.0138889
61,101375.37383956938,101375,0
62,102297.50889679747,102298,0
63,102314.60973982648,102315,0.0138889
64,102320.30242383831,102320,0
65,102269.0391459078,102269,0.0138889
66,102251.96552682867,102252,0
67,102234.85707930085,102235,0.0416667
68,102223.57583504643,102224,0
69,102257.65124555101,102258,0
70,102263.39077265131,102263,0
71,102280.42704626374,102280,0.0138889
72,100771.80185689629,100772,0
73,100782.73829385005,100783,0
74,100771.53024911016,100772,0
75,102269.02458013639,102269,0
76,102217.84423814614,102218,0.0138889
77,102257.65124555146,102258,0
78,102274.74702546485,102275,0
79,102314.5907473301,102315,0
80,102314.60499249409,102315,0.0138889
81,102297.53168779062,102298,0
82,102308.89679715192,102309,0.0138889
83,102274.71916360856,102275,0
84,102240.55166277543,102241,0
85,96047.35992878265,96047.4,0.0138889
86,96077.60596284509,96077.6,0
87,96095.74550914615,96095.7,0.0277778
88,102314.60973982619,102315,0
89,102280.46028128301,102280,0
90,102269.03914590782,102269,0
91,102223.48754448345,102223,0
92,102257.65124555196,102258,0
93,102269.0537084399,102269,0
94,102223.54641467566,102224,0
95,102007.16112531855,102007,0.0138889
96,102007.22663850132,102007,0
97,102052.74627529497,102053,0.0277778
98,102274.74702546485,102275,0
99,102303.19746427251,102275,0.0138889
100,102331.66499833172,102275,0
101,102325.99099349538,102275,0.0138889
102,102320.30242383764,102275,0.0277778
103,102308.92211907219,102275,0
104,102314.59549624627,102275,0
105,102308.911991994,102275,0
106,102286.13365951288,102275,0
107,102251.95729537464,102275,0
108,102240.57825966072,102275,0
109,102263.35279399586,102275,0
110,102308.90692761043,102275,0
111,102274.77487493059,102275,0
112,102291.83900377946,102275,0
113,102297.52599099254,102275,0.0138889
114,102343.06049821991,102275,0.0138889
115,102331.68019570793,102275,0
116,102337.37699449639,102275,0
117,102314.60024463636,102275,0
118,102308.91199199542,102275,0
119,102297.53738395782,102275,0
